date,close
2016-04-13,31.835
2016-04-14,32.165
2016-04-15,32.674
2016-04-18,31.955
2016-04-19,35.151
2016-04-20,34.102
2016-04-21,33.323
2016-04-22,31.166
2016-04-25,31.246
2016-04-26,30.916
2016-04-27,30.576
2016-04-28,30.117
2016-04-29,29.937
2016-05-03,31.266
2016-05-04,32.265
2016-05-05,32.384
2016-05-06,30.606
2016-05-09,28.868
2016-05-10,28.748
2016-05-11,27.859
2016-05-12,28.059
2016-05-13,27.19
2016-05-16,28.109
2016-05-17,27.969
2016-05-18,26.9
2016-05-19,27.16
2016-05-20,27.53
2016-05-23,29.238
2016-05-24,28.129
2016-05-25,27.969
2016-05-26,28.579
2016-05-27,28.169
2016-05-30,27.819
2016-05-31,29.318
2016-06-01,29.268
2016-06-02,30.167
2016-06-03,30.037
2016-06-06,29.897
2016-06-07,29.967
2016-06-08,30.227
2016-06-13,27.37
2016-06-14,27.17
2016-06-15,28.189
2016-06-16,28.149
2016-06-17,28.139
2016-06-20,28.119
2016-06-21,29.018
2016-06-22,29.418
2016-06-23,28.918
2016-06-24,28.059
2016-06-27,29.068
2016-06-28,30.327
2016-06-29,29.917
2016-06-30,30.586
2016-07-01,33.643
2016-07-04,33.933
2016-07-05,33.014
2016-07-06,32.614
2016-07-07,32.514
2016-07-08,32.534
2016-07-11,31.965
2016-07-12,32.255
2016-07-13,32.235
2016-07-14,32.654
2016-07-15,32.225
2016-07-18,32.514
2016-07-19,32.754
2016-07-20,33.144
2016-07-21,33.124
2016-07-22,32.564
2016-07-25,33.164
2016-07-26,33.233
2016-07-27,30.966
2016-07-28,31.306
2016-07-29,31.286
2016-08-01,29.847
2016-08-02,30.287
2016-08-03,30.796
2016-08-04,31.016
2016-08-05,31.086
2016-08-08,31.366
2016-08-09,32.324
2016-08-10,32.065
2016-08-11,31.425
2016-08-12,31.266
2016-08-15,31.925
2016-11-25,30.946
2016-11-28,28.639
2016-11-29,27.43
2016-11-30,27.28
2016-12-01,27.22
2016-12-02,26.521
2016-12-05,26.511
2016-12-06,26.431
2016-12-07,26.781
2016-12-08,26.501
2016-12-09,25.991
2016-12-12,23.494
2016-12-13,23.844
2016-12-14,23.085
2016-12-15,23.244
2016-12-16,23.784
2016-12-19,23.414
2016-12-20,24.104
2016-12-21,24.353
2016-12-22,25.092
2016-12-23,24.243
2016-12-26,24.473
2016-12-27,24.163
2016-12-28,23.804
2016-12-29,23.514
2016-12-30,23.684
2017-01-03,23.824
2017-01-04,24.333
2017-01-05,24.183
2017-01-06,23.494
2017-01-09,23.564
2017-01-10,23.324
2017-01-11,23.244
2017-01-12,22.845
2017-01-13,21.576
2017-01-16,19.878
2017-01-17,20.188
2017-01-18,19.778
2017-01-19,19.778
2017-01-20,20.348
2017-01-23,20.507
2017-01-24,20.278
2017-01-25,20.428
2017-01-26,20.218
2017-02-03,20.238
2017-02-06,20.507
2017-02-07,20.338
2017-02-08,20.927
2017-02-09,21.327
2017-02-10,21.107
2017-02-13,21.576
2017-02-14,21.337
2017-02-15,20.907
2017-02-16,21.037
2017-02-17,20.597
2017-02-20,20.817
2017-02-21,21.546
2017-02-22,22.305
2017-02-23,22.026
2017-02-24,22.276
2017-02-27,21.806
2017-02-28,21.816
2017-03-01,21.856
2017-03-02,21.886
2017-03-03,22.046
2017-03-06,23.085
2017-03-07,23.304
2017-03-08,23.254
2017-03-09,22.895
2017-03-10,22.905
2017-03-13,23.984
2017-03-14,23.814
2017-03-15,23.914
2017-03-16,24.034
2017-03-17,23.624
2017-03-20,23.934
2017-03-21,24.393
2017-03-22,24.094
2017-03-30,21.956
2017-03-31,21.766
2017-04-05,22.865
2017-04-06,22.775
2017-04-07,22.625
2017-04-10,22.325
2017-04-11,22.006
2017-04-12,21.446
2017-04-13,21.386
2017-04-14,20.767
2017-04-17,19.988
2017-04-18,20.208
2017-04-19,20.388
2017-04-20,20.478
2017-04-21,20.008
2017-04-24,19.499
2017-04-25,19.808
2017-04-26,19.928
2017-04-27,20.258
2017-04-28,20.707
2017-05-02,20.747
2017-05-03,20.997
2017-05-04,20.817
2017-05-05,20.358
2017-05-08,19.688
2017-05-09,20.308
2017-05-10,19.788
2017-05-11,19.968
2017-05-12,20.278
2017-05-15,20.358
2017-05-16,20.907
2017-05-17,20.767
2017-05-18,20.438
2017-05-19,20.098
2017-05-22,19.648
2017-05-23,18.56
2017-05-24,18.23
2017-05-25,18.5
2017-05-26,18.51
2017-05-31,18.34
2017-06-01,18.16
2017-06-02,18.19
2017-06-05,18.62
2017-06-06,20.35
2017-06-07,20.38
2017-06-08,20.1
2017-06-09,20.21
2017-06-12,20.23
2017-06-13,20.75
2017-06-14,20.55
2017-06-15,20.68
2017-06-16,20.3
2017-06-19,20.29
2017-06-20,20.75
2017-06-21,21.66
2017-06-22,21.31
2017-06-23,21.5
2017-06-26,21.62
2017-06-27,21.38
2017-06-28,20.69
2017-06-29,22.0
2017-06-30,22.73
2017-07-03,22.76
2017-07-04,22.89
2017-07-05,23.11
2017-07-06,22.73
2017-07-07,23.58
2017-07-10,23.0
2017-07-11,22.6
2017-07-12,23.35
2017-07-13,22.98
2017-07-14,22.65
2017-07-17,20.39
2017-07-18,20.81
2017-07-19,21.28
2017-07-20,21.28
2017-07-21,21.33
2017-07-24,21.49
2017-07-25,21.23
2017-07-26,21.12
2017-07-27,22.2
2017-07-28,21.99
2017-07-31,22.4
2017-08-01,22.22
2017-08-02,21.81
2017-08-03,21.43
2017-08-04,21.49
2017-08-07,21.6
2017-08-08,21.62
2017-08-09,21.86
2017-08-10,21.27
2017-08-11,20.33
2017-08-14,20.94
2017-08-15,21.31
2017-08-16,21.68
2017-08-17,22.12
2017-08-18,21.98
2017-08-21,22.28
2017-08-22,22.02
2017-08-23,21.97
2017-08-24,21.9
2017-08-25,22.35
2017-08-28,22.29
2017-08-29,22.59
2017-08-30,22.44
2017-08-31,22.55
2017-09-01,22.24
2017-09-04,23.1
2017-09-05,22.92
2017-09-06,23.45
2017-09-07,22.9
2017-09-08,23.51
2017-09-11,25.16
2017-09-12,24.98
2017-09-13,25.13
2017-09-14,25.62
2017-09-15,26.19
2017-09-18,25.55
2017-09-19,25.85
2017-09-20,25.39
2017-09-21,25.0
2017-09-22,24.85
2017-09-25,24.14
2017-09-26,24.27
2017-09-27,24.75
2017-09-28,24.5
2017-09-29,24.69
2017-10-09,25.67
2017-10-10,25.58
2017-10-11,24.92
2017-10-12,24.34
2017-10-13,24.57
2017-10-16,23.37
2017-10-17,23.47
2017-10-18,22.88
2017-10-19,22.9
2017-10-20,23.34
2017-10-23,23.39
2017-10-24,23.24
2017-10-25,23.41
2017-10-26,23.33
2017-10-27,23.42
2017-10-30,23.04
2017-10-31,23.26
2017-11-01,23.63
2017-11-02,22.8
2017-11-03,21.93
2017-11-06,22.13
2017-11-07,22.18
2017-11-08,22.58
2017-11-09,22.6
2017-11-10,23.54
2017-11-13,23.85
2017-11-14,23.79
2017-11-15,23.82
2017-11-16,23.5
2017-11-17,23.94
2017-11-20,23.44
2017-11-21,23.92
2017-11-22,24.23
2017-11-23,23.25
2017-11-24,22.92
2017-11-27,21.2
2017-11-28,21.8
2017-11-29,21.86
2017-11-30,21.57
2017-12-01,21.99
2017-12-04,21.19
